Processing ../cross-thread/data/NVIDIA_GeForce_RTX_3050_Ti_Laptop_GPU_metrics.json...
Area: cross-warp, Device: 3050ti, Pairs: 4->16, Avg Speedup: 1.58, Std: 0.53
Area: cross-warp, Device: 3050ti, Pairs: 4->32, Avg Speedup: 2.07, Std: 1.01
Area: cross-warp, Device: 3050ti, Pairs: 4->64, Avg Speedup: 3.85, Std: 2.00
Area: cross-warp, Device: 3050ti, Pairs: 4->128, Avg Speedup: 5.96, Std: 3.76
Area: cross-warp, Device: 3050ti, Pairs: 4->256, Avg Speedup: 7.64, Std: 3.80
Area: cross-warp, Device: 3050ti, Pairs: 4->512, Avg Speedup: 5.42, Std: 2.98
Area: cross-warp, Device: 3050ti, Pairs: 8->16, Avg Speedup: 1.19, Std: 0.20
Area: cross-warp, Device: 3050ti, Pairs: 8->32, Avg Speedup: 1.54, Std: 0.70
Area: cross-warp, Device: 3050ti, Pairs: 8->64, Avg Speedup: 2.83, Std: 1.49
Area: cross-warp, Device: 3050ti, Pairs: 8->128, Avg Speedup: 4.37, Std: 2.86
Area: cross-warp, Device: 3050ti, Pairs: 8->256, Avg Speedup: 5.61, Std: 2.95
Area: cross-warp, Device: 3050ti, Pairs: 8->512, Avg Speedup: 4.05, Std: 2.24
Area: cross-warp, Device: 3050ti, Pairs: 16->32, Avg Speedup: 1.24, Std: 0.36
Area: cross-warp, Device: 3050ti, Pairs: 16->64, Avg Speedup: 2.28, Std: 1.20
Area: cross-warp, Device: 3050ti, Pairs: 16->128, Avg Speedup: 3.54, Std: 2.47
Area: cross-warp, Device: 3050ti, Pairs: 16->256, Avg Speedup: 4.54, Std: 2.63
Area: cross-warp, Device: 3050ti, Pairs: 16->512, Avg Speedup: 3.31, Std: 1.87
Area: cross-warp, Device: 3050ti, Pairs: 32->64, Avg Speedup: 1.79, Std: 0.80
Area: cross-warp, Device: 3050ti, Pairs: 32->128, Avg Speedup: 2.81, Std: 2.11
Area: cross-warp, Device: 3050ti, Pairs: 32->256, Avg Speedup: 3.63, Std: 2.42
Area: cross-warp, Device: 3050ti, Pairs: 32->512, Avg Speedup: 2.81, Std: 1.80
Area: cross-warp, Device: 3050ti, Pairs: 64->128, Avg Speedup: 1.34, Std: 0.46
Area: cross-warp, Device: 3050ti, Pairs: 64->256, Avg Speedup: 1.66, Std: 0.73
Area: cross-warp, Device: 3050ti, Pairs: 64->512, Avg Speedup: 1.34, Std: 0.96
