Processing ../cross-thread/data/NVIDIA_A100-SXM4-40GB_metrics.json...
Area: cross-warp, Device: A100, Pairs: 4->256, Avg Speedup: 8.10, Std: 3.00
Area: cross-warp, Device: A100, Pairs: 4->512, Avg Speedup: 7.28, Std: 2.01
Area: cross-warp, Device: A100, Pairs: 8->16, Avg Speedup: 1.31, Std: 0.21
Area: cross-warp, Device: A100, Pairs: 8->32, Avg Speedup: 1.75, Std: 0.56
Area: cross-warp, Device: A100, Pairs: 8->64, Avg Speedup: 3.26, Std: 1.41
Area: cross-warp, Device: A100, Pairs: 8->128, Avg Speedup: 4.96, Std: 2.47
Area: cross-warp, Device: A100, Pairs: 8->256, Avg Speedup: 5.86, Std: 2.32
Area: cross-warp, Device: A100, Pairs: 8->512, Avg Speedup: 5.33, Std: 1.41
Area: cross-warp, Device: A100, Pairs: 16->32, Avg Speedup: 1.30, Std: 0.25
Area: cross-warp, Device: A100, Pairs: 16->64, Avg Speedup: 2.47, Std: 1.07
Area: cross-warp, Device: A100, Pairs: 16->128, Avg Speedup: 3.82, Std: 2.18
Area: cross-warp, Device: A100, Pairs: 16->256, Avg Speedup: 4.60, Std: 2.20
Area: cross-warp, Device: A100, Pairs: 16->512, Avg Speedup: 4.25, Std: 1.40
Area: cross-warp, Device: A100, Pairs: 32->64, Avg Speedup: 1.89, Std: 0.72
Area: cross-warp, Device: A100, Pairs: 32->128, Avg Speedup: 2.95, Std: 1.64
Area: cross-warp, Device: A100, Pairs: 32->256, Avg Speedup: 3.71, Std: 2.11
Area: cross-warp, Device: A100, Pairs: 32->512, Avg Speedup: 3.53, Std: 1.56
Area: cross-warp, Device: A100, Pairs: 64->128, Avg Speedup: 1.37, Std: 0.39
Area: cross-warp, Device: A100, Pairs: 64->256, Avg Speedup: 1.68, Std: 0.80
Area: cross-warp, Device: A100, Pairs: 64->512, Avg Speedup: 1.63, Std: 0.85
Area: cross-warp, Device: A100, Pairs: 128->256, Avg Speedup: 1.15, Std: 0.39
Area: cross-warp, Device: A100, Pairs: 128->512, Avg Speedup: 1.18, Std: 0.73
Area: cross-warp, Device: A100, Pairs: 256->512, Avg Speedup: 0.94, Std: 0.41

Processing ../cross-block/data/NVIDIA_A100-SXM4-40GB_metrics.json...
Area: cross-block, Device: A100, Pairs: 1->2, Avg Speedup: 1.73, Std: 0.34
Area: cross-block, Device: A100, Pairs: 1->4, Avg Speedup: 2.81, Std: 0.81
Area: cross-block, Device: A100, Pairs: 1->8, Avg Speedup: 4.11, Std: 1.32
Area: cross-block, Device: A100, Pairs: 1->16, Avg Speedup: 5.79, Std: 1.91
Area: cross-block, Device: A100, Pairs: 1->32, Avg Speedup: 6.71, Std: 1.96
Area: cross-block, Device: A100, Pairs: 1->64, Avg Speedup: 9.62, Std: 2.78
Area: cross-block, Device: A100, Pairs: 1->128, Avg Speedup: 10.73, Std: 3.14
Area: cross-block, Device: A100, Pairs: 1->256, Avg Speedup: 12.12, Std: 4.57
Area: cross-block, Device: A100, Pairs: 1->512, Avg Speedup: 14.09, Std: 7.12
Area: cross-block, Device: A100, Pairs: 1->1024, Avg Speedup: 15.00, Std: 8.00
Area: cross-block, Device: A100, Pairs: 2->4, Avg Speedup: 1.56, Std: 0.25
Area: cross-block, Device: A100, Pairs: 2->8, Avg Speedup: 2.23, Std: 0.52
Area: cross-block, Device: A100, Pairs: 2->16, Avg Speedup: 3.10, Std: 0.83
Area: cross-block, Device: A100, Pairs: 2->32, Avg Speedup: 3.57, Std: 0.89
Area: cross-block, Device: A100, Pairs: 2->64, Avg Speedup: 5.08, Std: 1.33
Area: cross-block, Device: A100, Pairs: 2->128, Avg Speedup: 5.63, Std: 1.53
Area: cross-block, Device: A100, Pairs: 2->256, Avg Speedup: 6.34, Std: 2.30
Area: cross-block, Device: A100, Pairs: 2->512, Avg Speedup: 7.32, Std: 3.56
Area: cross-block, Device: A100, Pairs: 2->1024, Avg Speedup: 7.76, Std: 4.01
Area: cross-block, Device: A100, Pairs: 4->8, Avg Speedup: 1.39, Std: 0.16
